Read_Length,QV,Read_Numbers
12300,56,7
12300,57,3
12300,58,7
12300,59,5
12300,60,2
12300,61,8
12300,62,8
12300,63,11
12300,64,6
12300,65,11
12300,66,7
12300,67,3
12300,68,5
12300,69,13
12300,70,6
12300,71,9
12300,72,14
12300,73,14
12300,74,16
12300,75,15
12300,76,15
12300,77,14
12300,78,10
12300,79,16
12300,80,21
12300,81,18
12300,82,20
12300,83,13
12300,84,20
12300,85,25
12300,86,31
12300,87,29
12300,88,38
12300,89,52
12300,90,60
12300,91,93
12300,92,226
12300,93,171
12400,42,2
12400,44,5
12400,45,2
12400,46,3
12400,47,6
12400,48,9
12400,49,8
12400,50,12
12400,51,13
12400,52,11
12400,53,5
12400,54,16
12400,55,11
12400,56,7
12400,57,17
12400,58,6
12400,59,11
12400,60,10
12400,61,6
12400,62,7
12400,63,9
12400,64,11
12400,65,10
12400,66,8
12400,67,8
12400,68,19
12400,69,12
12400,70,9
12400,71,17
12400,72,17
12400,73,9
12400,74,15
12400,75,8
12400,76,11
12400,77,19
12400,78,18
12400,79,13
12400,80,28
12400,81,26
12400,82,23
12400,83,23
12400,84,28
12400,85,29
12400,86,36
12400,87,47
12400,88,46
12400,89,59
12400,90,83
12400,91,121
12400,92,244
12400,93,196
12500,41,2
12500,42,1
12500,43,5
12500,44,6
12500,45,5
12500,46,9
12500,47,9
12500,48,12
12500,49,5
12500,50,16
12500,51,12
12500,52,16
12500,53,9
12500,54,15
12500,55,6
12500,56,11
12500,57,20
12500,58,10
12500,59,12
12500,60,12
12500,61,12
12500,62,14
12500,63,8
12500,64,8
12500,65,13
12500,66,13
12500,67,16
12500,68,16
12500,69,9
12500,70,15
12500,71,14
12500,72,17
12500,73,14
12500,74,19
12500,75,6
12500,76,14
12500,77,13
12500,78,19
12500,79,9
12500,80,18
12500,81,18
12500,82,32
12500,83,29
12500,84,39
12500,85,30
12500,86,44
12500,87,45
12500,88,57
12500,89,68
12500,90,96
12500,91,123
12500,92,259
12500,93,226
12600,41,2
12600,42,2
12600,43,5
12600,44,5
12600,45,3
12600,46,10
12600,47,13
12600,48,9
12600,49,6
12600,50,6
12600,51,22
12600,52,11
12600,53,13
12600,54,8
12600,55,11
12600,56,13
12600,57,17
12600,58,17
12600,59,10
12600,60,17
12600,61,21
12600,62,7
12600,63,15
12600,64,19
12600,65,12
12600,66,19
12600,67,11
12600,68,14
12600,69,12
12600,70,14
12600,71,11
12600,72,17
12600,73,20
12600,74,13
12600,75,25
12600,76,15
12600,77,15
12600,78,16
